Official_country,Agri_forest_fish_perc_gdp,Industry_perc_gdp,Manufacturing_perc_gdp,Services_perc_gdp,Forest_rents_perc_gdp,Forest_area_perc_landarea,Health_expend_perc_gdp
Albania,18.4,20.6,6.3,48.4,0.1,28.8,NA
Andorra,0.5,11.7,3.7,77.6,0.0,34.0,6.7
Armenia,11.5,25.0,11.7,54.0,0.3,11.5,11.3
Austria,1.1,25.1,16.5,63.2,0.1,47.2,10.4
Belarus,6.8,31.7,21.6,48.4,1.0,43.1,5.9
Belgium,0.7,19.2,12.3,69.4,0.0,22.8,10.7
Bosnia and Herzegovina,5.6,24.0,12.9,55.7,0.5,42.7,9.0
Bulgaria,3.2,21.7,NA,61.4,0.2,35.7,7.1
Croatia,2.9,20.0,11.9,59.5,0.2,34.6,7.0
Cyprus,1.8,12.8,5.5,73.0,0.0,18.7,7.0
Czechia,1.9,31.5,22.6,57.0,0.3,34.7,7.8
Denmark,1.2,21.2,13.7,64.7,0.0,15.7,10.0
Estonia,2.5,23.0,13.1,61.3,0.9,57.0,6.7
Faroe Islands,17.0,19.2,6.7,52.8,0.0,0.1,NA
Finland,2.3,23.9,14.4,60.2,0.3,73.7,9.2
France,1.5,17.4,10.0,70.0,0.0,31.4,11.1
Georgia,6.5,20.3,8.9,60.8,0.1,40.6,6.7
Germany,0.8,27.0,19.4,62.3,0.0,32.7,11.7
Greece,3.8,13.3,8.0,69.5,0.0,30.3,7.8
Greenland,18.2,17.4,3.6,60.6,0.0,0.0,NA
Hungary,3.3,24.8,17.5,56.5,0.1,22.5,6.4
Iceland,4.4,19.7,8.6,66.0,0.0,0.5,8.6
Ireland,0.9,35.9,32.0,57.3,0.0,11.3,6.7
Isle of Man,0.3,7.6,2.1,93.9,0.0,6.1,NA
Italy,1.9,21.5,14.9,66.3,0.0,32.2,8.7
Kosovo,7.2,27.1,12.9,46.4,0.0,NA,NA
Latvia,4.0,18.9,10.6,64.2,1.1,54.7,6.6
Liechtenstein,0.1,44.2,38.7,52.2,0.0,41.9,NA
Lithuania,3.1,25.2,16.1,61.5,0.3,35.1,7.0
Luxembourg,0.2,11.7,4.9,78.8,0.0,34.5,5.4
Moldova,10.2,22.5,10.6,54.3,0.2,11.8,6.4
Monaco,NA,13.0,NA,78.4,0.0,0.0,1.5
Montenegro,6.4,16.1,3.7,58.7,0.5,61.5,8.3
Netherlands,1.6,17.6,10.8,70.0,0.0,10.9,10.1
North Macedonia,8.1,23.7,13.4,55.0,0.1,39.7,7.3
Norway,1.8,29.0,6.2,58.0,0.0,33.3,10.5
Poland,2.3,28.0,16.5,57.6,0.2,30.9,6.4
Portugal,2.1,18.8,11.9,65.6,0.1,36.2,9.5
Romania,4.1,27.0,17.0,59.3,0.2,30.1,5.7
Russian Federation,3.5,32.2,13.0,54.2,0.3,49.8,5.6
San Marino,0.0,NA,30.6,NA,0.0,16.7,6.4
Serbia,6.0,25.6,13.7,51.2,0.4,31.1,8.7
Slovakia,1.7,29.6,19.7,58.1,0.2,40.1,7.0
Slovenia,2.0,29.0,20.7,56.6,0.2,61.6,8.5
Spain,2.6,20.1,11.0,67.9,0.0,37.2,9.1
Sweden,1.4,21.9,12.8,65.5,0.2,68.7,10.9
Switzerland,0.6,25.0,18.2,71.7,0.0,32.0,11.3
Ukraine,9.0,22.6,10.8,54.5,0.3,16.7,7.1
United Kingdom,0.6,18.0,8.9,70.9,0.0,13.2,10.2
Malta,0.5,12.5,7.1,76.4,0.0,1.4,8.2